target,scope,month,variant,K,radius,scatter,density_between,S_Dbw,status,zero_density_clusters,zero_over_zero_pairs,positive_over_zero_pairs
temporal_louvain_alpha70,temporal,2023-08-01,round14_zero_zero,10,0.09388607152835585,0.18902174136787117,,,undefined,5,9,1
temporal_louvain_alpha70,temporal,2023-08-01,round14_floor_one,10,0.09388607152835585,0.18902174136787117,0.09722222222222222,0.2862439635900934,finite,5,9,1
temporal_louvain_alpha70,temporal,2023-08-01,rms_radius_strict,10,0.2968938265950903,0.18902174136787117,0.2239456346565048,0.41296737602437594,finite,0,0,0
temporal_louvain_alpha70,temporal,2023-08-01,rms_radius_floor_one,10,0.2968938265950903,0.18902174136787117,0.2239456346565048,0.41296737602437594,finite,0,0,0
temporal_louvain_alpha70,temporal,2023-08-01,printed_outside_indicator,10,0.09388607152835585,0.18902174136787117,,,undefined,2,0,1
temporal_leiden_alpha70,temporal,2023-08-01,round14_strict,10,0.08885151182197312,0.16929302641099042,,,undefined,2,1,0
temporal_leiden_alpha70,temporal,2023-08-01,round14_zero_zero,10,0.08885151182197312,0.16929302641099042,0.006666666666666666,0.17595969307765708,finite,2,1,0
temporal_leiden_alpha70,temporal,2023-08-01,round14_floor_one,10,0.08885151182197312,0.16929302641099042,0.006666666666666666,0.17595969307765708,finite,2,1,0
temporal_leiden_alpha70,temporal,2023-08-01,rms_radius_strict,10,0.2809731509068123,0.16929302641099042,0.23474341625209022,0.40403644266308064,finite,0,0,0
temporal_leiden_alpha70,temporal,2023-08-01,rms_radius_floor_one,10,0.2809731509068123,0.16929302641099042,0.23474341625209022,0.40403644266308064,finite,0,0,0
temporal_leiden_alpha70,temporal,2023-08-01,printed_outside_indicator,10,0.08885151182197312,0.16929302641099042,,,undefined,3,0,3
temporal_louvain_alpha70,temporal,2023-09-01,round14_strict,10,0.09722514216880894,0.20108535242744519,,,undefined,7,18,3
temporal_louvain_alpha70,temporal,2023-09-01,round14_zero_zero,10,0.09722514216880894,0.20108535242744519,,,undefined,7,18,3
temporal_louvain_alpha70,temporal,2023-09-01,round14_floor_one,10,0.09722514216880894,0.20108535242744519,0.16931216931216933,0.3703975217396145,finite,7,18,3
temporal_louvain_alpha70,temporal,2023-09-01,rms_radius_strict,10,0.3074528950871192,0.20108535242744519,0.24698952387059186,0.44807487629803705,finite,0,0,0
temporal_louvain_alpha70,temporal,2023-09-01,rms_radius_floor_one,10,0.3074528950871192,0.20108535242744519,0.24698952387059186,0.44807487629803705,finite,0,0,0
temporal_louvain_alpha70,temporal,2023-09-01,printed_outside_indicator,10,0.09722514216880894,0.20108535242744519,1.293581578778094,1.4946669312055392,finite,1,0,0
temporal_leiden_alpha70,temporal,2023-09-01,round14_strict,10,0.09342629086006564,0.1856784393637466,,,undefined,4,5,1
