panel_index,municipality,reference_profile,full_consensus_class,without_perturbation_class_matches_full,without_perturbation_DG_side_matches_full,without_alpha_class_matches_full,without_alpha_DG_side_matches_full,without_gamma_class_matches_full,without_gamma_DG_side_matches_full,without_algorithm_class_matches_full,without_algorithm_DG_side_matches_full,lofo_class_match_count,lofo_all_class_match,lofo_DG_side_match_count,lofo_all_DG_side_match,lofo_entropy_range,lofo_min_margin
473,Кулундинский муниципальный район,G,G,True,True,True,True,True,True,True,True,4,True,4,True,0.09026595100783985,0.34555201953981274
474,Куменский муниципальный район,G,G,True,True,True,True,True,True,True,True,4,True,4,True,0.08347780037209052,0.3713528707595649
475,Кумылженский муниципальный район,G,G,True,True,True,True,True,True,True,True,4,True,4,True,0.08088927043115202,0.38387056416025844
476,Кунашакский муниципальный район,G,G,True,True,True,True,True,True,True,True,4,True,4,True,0.08347780037209052,0.3713528707595649
477,Купинский муниципальный район,G,G,True,True,True,True,True,True,True,True,4,True,4,True,0.08848145248420103,0.3523419768047237
478,Курагинский муниципальный район,G,G,True,True,True,True,True,True,True,True,4,True,4,True,0.08437308408372868,0.31573759066844564
479,Куркинский муниципальный район,G,G,True,True,True,True,True,True,True,True,4,True,4,True,0.08088927043115202,0.38387056416025844
480,Курманаевский муниципальный район,G,G,True,True,True,True,True,True,True,True,4,True,4,True,0.08088927043115202,0.38387056416025844
481,Курский муниципальный округ,C,C,True,False,True,True,True,True,True,True,4,True,3,False,0.15261638425670493,0.8937399189282356
482,Куртамышский муниципальный округ,G,G,True,True,True,True,True,True,True,True,4,True,4,True,0.08088927043115202,0.38387056416025844
483,Курьинский муниципальный район,G,G,True,True,True,True,True,True,True,True,4,True,4,True,0.08088927043115202,0.38387056416025844
484,Кусинский муниципальный район,G,G,True,True,True,True,True,True,True,True,4,True,4,True,0.08347780037209052,0.3713528707595649
485,Кушнаренковский муниципальный район,G,G,True,True,True,True,True,True,True,True,4,True,4,True,0.09627796074523148,0.35423044224126576
486,Кызылский муниципальный район,A,A,True,False,True,True,True,True,True,True,4,True,3,False,0.34090900747150843,0.2995162381293654
487,Кыринский муниципальный район,F,F,False,True,True,True,False,True,False,True,1,False,4,True,0.07519803410091275,0.010269098072808513
488,Кытмановский муниципальный район,G,G,True,True,True,True,True,True,True,True,4,True,4,True,0.08088927043115202,0.38387056416025844
489,Кыштовский муниципальный район,G,G,True,True,True,True,True,True,True,True,4,True,4,True,0.08088927043115202,0.38387056416025844
490,Лаганский муниципальный район,G,G,True,True,True,True,True,True,True,True,4,True,4,True,0.08088927043115202,0.38387056416025844
491,Лазовский муниципальный округ,G,G,True,True,True,True,True,True,True,True,4,True,4,True,0.09117811362481276,0.023661474557591378
492,Лаишевский муниципальный район,D,D,True,True,True,True,True,True,True,True,4,True,4,True,0.16969611953095604,0.28252940468358206
493,Лахденпохский муниципальный район,G,G,True,True,True,True,True,True,True,True,4,True,4,True,0.1186011869206679,0.24600666661017812
494,Лебедянский муниципальный район,G,G,True,True,True,True,True,True,True,True,4,True,4,True,0.08604204917991454,0.3085765217788225
495,Лебяжьевский муниципальный округ,G,G,True,True,True,True,True,True,True,True,4,True,4,True,0.08088927043115202,0.38387056416025844
496,Лев-Толстовский муниципальный район,G,G,True,True,True,True,True,True,True,True,4,True,4,True,0.08437308408372868,0.31573759066844564
497,Левокумский муниципальный округ,G,G,True,True,True,True,True,True,True,True,4,True,4,True,0.08088927043115202,0.38387056416025844
498,Лежневский муниципальный район,G,G,True,True,True,True,True,True,True,True,4,True,4,True,0.08088927043115202,0.38387056416025844
499,Лениногорский муниципальный район,F,D,True,True,True,True,True,True,True,True,4,True,4,True,0.1949310873516032,0.11282070085875373
500,Лиманский муниципальный район,G,G,True,True,True,True,True,True,True,True,4,True,4,True,0.08088927043115202,0.38387056416025844
501,Ловозерский муниципальный район,G,G,True,True,True,True,True,True,True,True,4,True,4,True,0.090308931720817,0.2501200753225011
502,Лодейнопольский муниципальный район,F,D,True,True,True,True,True,True,True,True,4,True,4,True,0.18067659928730567,0.02100707824183412
503,Локтевский муниципальный район,G,G,True,True,True,True,True,True,True,True,4,True,4,True,0.08088927043115202,0.38387056416025844
504,Ломоносовский муниципальный район,E,E,True,True,True,True,True,True,True,True,4,True,4,True,0.19817749398903745,0.19374191451363892
505,Лопатинский муниципальный район,G,G,True,True,True,True,True,True,True,True,4,True,4,True,0.08088927043115202,0.38387056416025844
506,Лоухский муниципальный район,G,G,True,True,True,True,True,True,True,True,4,True,4,True,0.1186011869206679,0.24600666661017812
507,Лужский муниципальный район,E,E,True,True,True,True,True,True,True,True,4,True,4,True,0.15162112339499723,0.17443425642396126
508,Лукояновский муниципальный округ,G,G,True,True,True,True,True,True,True,True,4,True,4,True,0.08088927043115202,0.38387056416025844
509,Лунинский муниципальный район,G,G,True,True,True,True,True,True,True,True,4,True,4,True,0.08088927043115202,0.38387056416025844
510,Лухский муниципальный район,G,G,True,True,True,True,True,True,True,True,4,True,4,True,0.08088927043115202,0.38387056416025844
511,Лысковский муниципальный округ,G,G,True,True,True,True,True,True,True,True,4,True,4,True,0.07895320353736479,0.0015330023428494766
512,Лысогорский муниципальный район,G,G,True,True,True,True,True,True,True,True,4,True,4,True,0.08088927043115202,0.38387056416025844
513,Любимский муниципальный район,G,G,True,True,True,True,True,True,True,True,4,True,4,True,0.08347780037209052,0.3713528707595649
514,Любинский муниципальный район,G,G,True,True,True,True,True,True,True,True,4,True,4,True,0.1354300357730277,0.19913646785972455
515,Любытинский муниципальный район,G,G,True,True,True,True,True,True,True,True,4,True,4,True,0.08484266599376855,0.36491615604457694
516,Людиновский муниципальный район,F,G,True,True,True,True,True,True,False,True,3,False,4,True,0.06080768200143327,0.04944724893266372
517,Лямбирский муниципальный район,F,G,True,True,True,True,True,True,False,True,3,False,4,True,0.06874766132756227,0.03234015493844922
