panel_index,municipality,consensus_class,second_class,affinity_share_D,affinity_share_F,affinity_share_G,D_G_balance,D_G_transition_direction,family_votes_D_over_G,family_votes_G_over_D,lofo_class_match_count,lofo_DG_side_match_count,anchor_consensus_class,affinity_entropy,affinity_margin
1060,Шуйский муниципальный район,G,F,0.10846175193009963,0.36304899755980724,0.38475012478991455,-0.5601819134956838,G-leaning,0,4,3,4,G,0.7120950913038101,0.02170112723010731
1062,Шушенский муниципальный район,G,F,0.030011437620291986,0.32525141200094726,0.47775895065119917,-0.8817913044419374,G-leaning,0,4,4,4,G,0.637961360359647,0.1525075386502519
1063,Щекинский муниципальный район,D,F,0.48952238725621994,0.39198879987495894,0.018943053162120412,0.9254893188157096,D-leaning,4,0,4,4,F,0.5811802189512819,0.097533587381261
1079,Яйский муниципальный округ,G,F,0.1027942243853434,0.36085897010354984,0.39200545356036465,-0.5845016520135143,G-leaning,0,4,3,4,G,0.7084029638886937,0.03114648345681481
1087,Ярцевский муниципальный район,G,F,0.11128053115732328,0.36406504158372494,0.3812893006491385,-0.5481634319779166,G-leaning,0,4,3,4,G,0.7136497175955173,0.017224259065413583
1306,внутригородская территория города федерального значения поселение Вороновское,D,F,0.48823877870782423,0.38348422303142393,0.017111165525928163,0.9322799350383888,D-leaning,4,0,4,4,F,0.5948371085677343,0.1047545556764003
1309,внутригородская территория города федерального значения поселение Киевский,D,F,0.48753485133380925,0.3905207751034885,0.01890835854910641,0.9253288101010266,D-leaning,4,0,4,4,F,0.5848501292895198,0.09701407623032077
1311,внутригородская территория города федерального значения поселение Краснопахорское,D,F,0.48823877870782423,0.38348422303142393,0.017111165525928163,0.9322799350383888,D-leaning,4,0,4,4,F,0.5948371085677343,0.1047545556764003
1313,внутригородская территория города федерального значения поселение Михайлово-Ярцевское,D,F,0.4908309524790871,0.3857659516521307,0.017175672752342726,0.9323801230170252,D-leaning,4,0,4,4,F,0.5872482798062066,0.10506500082695641
1316,внутригородская территория города федерального значения поселение Новофедоровское,D,F,0.4908309524790871,0.3857659516521307,0.017175672752342726,0.9323801230170252,D-leaning,4,0,4,4,F,0.5872482798062066,0.10506500082695641
1321,внутригородская территория города федерального значения поселение Щаповское,D,F,0.48823877870782423,0.38348422303142393,0.017111165525928163,0.9322799350383888,D-leaning,4,0,4,4,F,0.5948371085677343,0.1047545556764003
1332,городской округ Александровск-Сахалинский район,A,F,0.03298062196958755,0.30152336710479216,0.25558737769335155,-0.7714187158097192,G-leaning,1,3,3,4,A,0.7462435491488696,0.009953410635490823
1335,городской округ Анжеро-Судженский,D,F,0.5273309382265823,0.3604834403707267,0.024304977780580182,0.9118803650186382,D-leaning,4,0,4,4,D,0.5704080091821137,0.16684749785585556
1346,городской округ Белоярский,D,F,0.4758600291567773,0.392900851983703,0.035005220341450344,0.8629571286133377,D-leaning,4,0,4,4,F,0.6023804947654496,0.08295917717307427
1348,городской округ Богданович,D,F,0.48672073433811197,0.39198041178599236,0.022091874265366386,0.9131630235107528,D-leaning,4,0,4,4,F,0.5859509750355416,0.09474032255211962
1353,городской округ Верещагинский,G,F,0.02658246745039328,0.3141842405189207,0.4972160004638052,-0.8985011637920726,G-leaning,0,4,4,4,G,0.620899145719164,0.18303175994488452
1354,городской округ Верхнесалдинский,D,F,0.485710771907447,0.38921881897194055,0.021619248000663963,0.9147724473131722,D-leaning,4,0,4,4,F,0.5901251290208929,0.09649195293550644
1355,городской округ Верхнеуфалейский,G,F,0.10006782341511837,0.3560825935155509,0.3990337261901963,-0.5990081637925141,G-leaning,0,4,3,4,G,0.7064429806117444,0.0429511326746454
1358,городской округ Верхняя Тура,G,F,0.10300397107199735,0.3534812392866746,0.40157715117330434,-0.5917248326150336,G-leaning,0,4,3,4,G,0.7039189696198503,0.04809591188662976
1362,городской округ Волоколамский,D,F,0.4874941781276296,0.3829705418590884,0.017311511001998077,0.9314131699591337,D-leaning,4,0,4,4,F,0.5965366512974677,0.10452363626854116
1367,городской округ Вышневолоцкий,D,F,0.48374946610379516,0.39281220752561447,0.02537141356507415,0.9003324570715872,D-leaning,4,0,4,4,F,0.5915416256187422,0.09093725857818069
1372,городской округ Гусевский,G,F,0.11128053115732328,0.36406504158372494,0.3812893006491385,-0.5481634319779166,G-leaning,0,4,3,4,G,0.7136497175955173,0.017224259065413583
1373,городской округ Дальнегорский,G,F,0.0364963828537043,0.3091547617361818,0.3453685402511056,-0.8088518706721475,G-leaning,0,4,2,4,G,0.7590028495381251,0.0362137785149238
1374,городской округ Дальнереченский,F,G,0.11835695409641567,0.3507417789521674,0.25489154646999523,-0.3658007792834694,G-leaning,1,3,4,3,F,0.8099085607898403,0.09585023248217217
1378,городской округ Добрянский,D,F,0.485710771907447,0.38921881897194055,0.021619248000663963,0.9147724473131722,D-leaning,4,0,4,4,F,0.5901251290208929,0.09649195293550644
1380,городской округ Долинский,A,F,0.03383425215882174,0.1743662035282882,0.042941360553996895,-0.11861980742818101,mixed,1,2,4,4,A,0.5127479177341302,0.5262653281136078
1386,городской округ Заводоуковский,G,F,0.10563149805641021,0.36188188728359283,0.38852150520196,-0.5724745276872059,G-leaning,0,4,3,4,G,0.7100837366531868,0.026639617918367164
1387,городской округ Зарайск,D,F,0.4822178632465582,0.3927170052356766,0.028546708608979995,0.8882196997130256,D-leaning,4,0,4,4,F,0.593369653656543,0.08950085801088159
1388,городской округ Заречный,D,F,0.48451358982141285,0.390869374156408,0.02812298249164166,0.8902810138389127,D-leaning,4,0,4,4,F,0.592550945336039,0.09364421566500486
1392,городской округ Ивдельский,D,F,0.48374946610379516,0.39281220752561447,0.02537141356507415,0.9003324570715872,D-leaning,4,0,4,4,F,0.5915416256187422,0.09093725857818069
1397,городской округ Калтанский,D,F,0.45470463814760326,0.3972909112687225,0.06381543881914647,0.7538554757900391,D-leaning,4,0,3,4,F,0.6231721129686015,0.057413726878880744
1398,городской округ Каменский,D,F,0.4098505712055185,0.38702558008252747,0.051280986776999944,0.7775863052992612,D-leaning,3,1,2,4,F,0.6740371123280328,0.022824991122991023
1399,городской округ Камышловский,G,F,0.11132124628963916,0.36387059697651586,0.38137188116103,-0.5481112275072877,G-leaning,0,4,3,4,G,0.7138254396548602,0.017501284184514132
1400,городской округ Карабашский,G,F,0.11128053115732328,0.36406504158372494,0.3812893006491385,-0.5481634319779166,G-leaning,0,4,3,4,G,0.7136497175955173,0.017224259065413583
1403,городской округ Качканарский,D,F,0.485710771907447,0.38921881897194055,0.021619248000663963,0.9147724473131722,D-leaning,4,0,4,4,F,0.5901251290208929,0.09649195293550644
1407,городской округ Кинель,D,F,0.49610694360663155,0.3867142405891023,0.017534865412038338,0.931723371796625,D-leaning,4,0,4,4,F,0.5783045241057763,0.10939270301752924
1408,городской округ Кинешма,G,F,0.11132124628963916,0.36387059697651586,0.38137188116103,-0.5481112275072877,G-leaning,0,4,3,4,G,0.7138254396548602,0.017501284184514132
1409,городской округ Кировградский,G,F,0.11128053115732328,0.36406504158372494,0.3812893006491385,-0.5481634319779166,G-leaning,0,4,3,4,G,0.7136497175955173,0.017224259065413583
