month,ARI,NMI,K,mode,seed,louvain_seed,gamma,adjacent_ARI,adjacent_NMI,same_label_share
2024-11-01,0.8474367722210399,0.7860843658039304,8,combined,6,6,0.5,0.9390663049578156,0.9030072447971114,0.9726890756302521
2024-12-01,0.8474367722210399,0.7860843658039304,8,combined,6,6,0.5,1.0,1.0,1.0
2023-01-01,0.6512112081876398,0.7416495887625636,6,combined,7,7,0.5,,,
2023-02-01,0.6512112081876398,0.7416495887625636,6,combined,7,7,0.5,1.0,1.0,1.0
2023-03-01,0.650295774658791,0.7181917203710239,6,combined,7,7,0.5,0.9266646833420652,0.8904002833532052,0.9684873949579832
2023-04-01,0.6920505137429791,0.7387169468262352,7,combined,7,7,0.5,0.956371024046505,0.9336633081630625,0.9831932773109243
2023-05-01,0.6959400231731593,0.7400496220741913,8,combined,7,7,0.5,0.9363523605948638,0.9146827628521744,0.976890756302521
2023-06-01,0.6758226791090242,0.7287436446129527,8,combined,7,7,0.5,0.9401543685873336,0.9143042106302776,0.9726890756302521
2023-07-01,0.6125986592636499,0.7031982697862036,9,combined,7,7,0.5,0.9137033161350188,0.8973386871457906,0.9590336134453782
2023-08-01,0.514500086216158,0.6695592445771391,9,combined,7,7,0.5,0.8047906131184515,0.8398927170786976,0.9065126050420168
2023-09-01,0.46993315202617575,0.6525018729080866,9,combined,7,7,0.5,0.6866368402310175,0.8074535914968863,0.854516806722689
2023-10-01,0.4959782552521571,0.6499167450849276,11,combined,7,7,0.5,0.6531880183154749,0.8048606303351317,0.8256302521008403
2023-11-01,0.5077779269316028,0.671660690417261,11,combined,7,7,0.5,0.7664631556469161,0.8290722071340744,0.8776260504201681
2023-12-01,0.4449977410258773,0.6530031089586985,11,combined,7,7,0.5,0.851522277902876,0.8637583952123459,0.9206932773109243
2024-01-01,0.3925339875879911,0.6276734371641272,11,combined,7,7,0.5,0.8029299996329885,0.838269604917308,0.9028361344537815
2024-02-01,0.4019088399188584,0.6337177205464054,10,combined,7,7,0.5,0.7772022963844761,0.8405775440907072,0.9023109243697479
2024-03-01,0.41854885270370956,0.619972520629985,10,combined,7,7,0.5,0.8109212041846114,0.8622599795034297,0.9185924369747899
2024-04-01,0.4008624500121852,0.603884669952276,11,combined,7,7,0.5,0.8444325379090704,0.8663074060253645,0.9222689075630253
2024-05-01,0.3665293873187307,0.5983317333992021,11,combined,7,7,0.5,0.8492776283554353,0.8657223246466462,0.9185924369747899
2024-06-01,0.3468488437659795,0.6139291201138005,11,combined,7,7,0.5,0.8615343908862941,0.8641004368426791,0.9254201680672269
2024-07-01,0.31600850216516696,0.6215931049943207,11,combined,7,7,0.5,0.805764148829863,0.8393628144757339,0.8849789915966386
2024-08-01,0.40178846319303263,0.6467100817089726,11,combined,7,7,0.5,0.7321183783071115,0.8332435973066472,0.8623949579831933
2024-09-01,0.5767257314160948,0.7143405564082189,10,combined,7,7,0.5,0.7230247002080892,0.8255888384269519,0.8786764705882353
2024-10-01,0.673282908914214,0.7412256676693241,10,combined,7,7,0.5,0.8332060272541436,0.868157304869866,0.9348739495798319
2024-11-01,0.7720521190389014,0.7756241669987575,9,combined,7,7,0.5,0.8515643543267872,0.8784726715596822,0.9417016806722689
2024-12-01,0.7720521190389014,0.7756241669987575,9,combined,7,7,0.5,1.0,1.0,1.0
2023-01-01,0.6380581790942571,0.7084746692002997,7,combined,8,8,0.5,,,
2023-02-01,0.6380581790942571,0.7084746692002997,7,combined,8,8,0.5,1.0,1.0,1.0
2023-03-01,0.6040171906808219,0.682285800679823,7,combined,8,8,0.5,0.9178725855358866,0.8762374466951998,0.9590336134453782
2023-04-01,0.6057381464788106,0.687322407634948,7,combined,8,8,0.5,0.9288979336412212,0.9127967101172682,0.9711134453781513
2023-05-01,0.5911880294000721,0.69342973119887,8,combined,8,8,0.5,0.9069644189108604,0.8880160010702802,0.960609243697479
2023-06-01,0.5462215802465742,0.6853011335128438,8,combined,8,8,0.5,0.9060183710890436,0.9019122801095638,0.9632352941176471
2023-07-01,0.4752629562905525,0.6734563863104028,8,combined,8,8,0.5,0.8593685519659165,0.8839525519036424,0.9401260504201681
2023-08-01,0.45478404360758723,0.6672759229502213,8,combined,8,8,0.5,0.7875755435642648,0.8480587687116563,0.904936974789916
2023-09-01,0.5490295275542045,0.6979938878619266,9,combined,8,8,0.5,0.7868757160110398,0.8553870348965118,0.9107142857142857
2023-10-01,0.6410857851038374,0.7257508736415055,9,combined,8,8,0.5,0.7950256583740433,0.8427286498071672,0.9159663865546218
2023-11-01,0.5885809826501053,0.6944898878156051,9,combined,8,8,0.5,0.8759829805277894,0.8867708767784537,0.9427521008403361
2023-12-01,0.4838587384642899,0.6581843149988555,9,combined,8,8,0.5,0.8462255055562505,0.8572998214865912,0.9107142857142857
2024-01-01,0.4274411829074732,0.636361247616979,9,combined,8,8,0.5,0.8216235668780264,0.8378276805282303,0.8933823529411765
2024-02-01,0.45930662387295346,0.63605340583292,10,combined,8,8,0.5,0.8596883442109289,0.8608778275599976,0.9196428571428571
2024-03-01,0.47102258081332476,0.6292320656610957,10,combined,8,8,0.5,0.8513962098061801,0.8520044865459198,0.9180672268907563
2024-04-01,0.37516172853032337,0.5934658332335074,9,combined,8,8,0.5,0.8360254049073602,0.8406420076757373,0.8949579831932774
2024-05-01,0.3469062185082501,0.5924267040506149,9,combined,8,8,0.5,0.7934887430465238,0.8348611350174554,0.8939075630252101
2024-06-01,0.3989078065251517,0.6031903199577795,9,combined,8,8,0.5,0.6197358014715442,0.7733878507103389,0.8240546218487395
2024-07-01,0.5603014965712879,0.6560004550133969,9,combined,8,8,0.5,0.6824033342634935,0.7930725775567447,0.8440126050420168
2024-08-01,0.6274665144259263,0.6988291879489736,9,combined,8,8,0.5,0.8837947108978683,0.8891404624022331,0.9480042016806722
2024-09-01,0.6503002734015663,0.726096114584357,9,combined,8,8,0.5,0.9311658899188753,0.9206017670657569,0.9732142857142857
2024-10-01,0.6401883929378593,0.7301828190962889,9,combined,8,8,0.5,0.9638726754904222,0.9348954914216565,0.9816176470588235
2024-11-01,0.6270827496836099,0.7161506088287314,9,combined,8,8,0.5,0.9460784387867586,0.9211951587030914,0.9763655462184874
2024-12-01,0.6270827496836099,0.7161506088287314,9,combined,8,8,0.5,1.0,1.0,1.0
2023-01-01,0.5297599527831593,0.7055624646125883,8,combined,9,9,0.5,,,
2023-02-01,0.5297599527831593,0.7055624646125883,8,combined,9,9,0.5,1.0,1.0,1.0
2023-03-01,0.5254353933603001,0.6922280786470093,8,combined,9,9,0.5,0.8751690767940131,0.8647366671260375,0.9511554621848739
2023-04-01,0.5181287889729934,0.6820536763293549,8,combined,9,9,0.5,0.8478635423249584,0.8421869357668447,0.9396008403361344
2023-05-01,0.49300655030095014,0.6732123103526362,8,combined,9,9,0.5,0.870490880964229,0.8610622091890077,0.9396008403361344
2023-06-01,0.45447077015877824,0.6824479410254836,8,combined,9,9,0.5,0.8188248722842681,0.8661330881867374,0.9222689075630253
2023-07-01,0.4807073339063794,0.7010751930876341,9,combined,9,9,0.5,0.8032987387964493,0.8766420315286687,0.9196428571428571
2023-08-01,0.5663361271725245,0.715365539825937,9,combined,9,9,0.5,0.7892181180360628,0.8503110464703003,0.9154411764705882
2023-09-01,0.624300092460791,0.7139424243782444,10,combined,9,9,0.5,0.7900498423637056,0.8586939027025308,0.907563025210084
