mode,scope,group,metric,n,mean,median,SD,min,max,q05,q10,q25,q75,q90,q95
graph_only,profiles,F,within_pair_coassignment,20,0.7347319937712238,0.8483049098515976,0.21413135052847684,0.4013245530102625,0.9697191422299769,0.42089454231627926,0.43426764976266863,0.4813746458790642,0.9079848408097408,0.942922271627174,0.9697191422299769
graph_only,profiles,G,retention,20,0.9322279792746114,0.9642487046632124,0.0846331297092864,0.6829015544041451,0.9968911917098445,0.8069430051813472,0.8209326424870467,0.9018134715025907,0.9950777202072538,0.9968911917098445,0.9968911917098445
graph_only,profiles,G,precision,20,0.9429807716642016,0.9756374679953062,0.07220234490881665,0.7394312067640276,0.9987577639751553,0.8407534424841997,0.8521618106626246,0.8880211947535703,0.9954384980578335,0.997518457752256,0.9978726708074535
graph_only,profiles,G,Jaccard,20,0.8764497380973697,0.8872923725213344,0.07495256003095123,0.6807851239669421,0.9804928131416838,0.7348828144805557,0.8043831405713705,0.8409692710035959,0.9334912994850313,0.9499174242541173,0.9564873272242483
graph_only,profiles,G,within_pair_coassignment,20,0.8859947756541182,0.9311042074258808,0.12738229260681935,0.5658009588717133,0.9937909831659966,0.6838662309461871,0.6949098101606003,0.8215369896588051,0.9901860770107281,0.9937909831659966,0.9937909831659966
optimizer_only,profiles,A,retention,20,0.9163120567375886,0.9432624113475178,0.08032480346151206,0.6524822695035462,1.0,0.800709219858156,0.8531914893617022,0.8865248226950354,0.9716312056737588,0.9794326241134752,0.9865248226950355
optimizer_only,profiles,A,precision,20,0.8987249782111876,0.9474095142490659,0.10592907083359901,0.67,1.0,0.7163125,0.7339439655172414,0.8556170886075949,0.9709087860496312,0.9932835820895523,1.0
optimizer_only,profiles,A,Jaccard,20,0.8321848419431486,0.8721145593350499,0.1193625944116217,0.519774011299435,1.0,0.6409645459755998,0.6807770802655713,0.7676973632116557,0.9080234833659491,0.939485524256651,0.967013888888889
optimizer_only,profiles,A,within_pair_coassignment,20,0.8552634245187438,0.8908308004052685,0.11449024779828343,0.5432624113475177,1.0,0.6663677811550152,0.7389564336372847,0.795694022289767,0.9440982776089158,0.9592502532928064,0.973242147922999
optimizer_only,profiles,B,retention,20,0.9790816326530611,1.0,0.0911764664287113,0.5918367346938775,1.0,0.9698979591836735,0.9989795918367347,1.0,1.0,1.0,1.0
optimizer_only,profiles,B,precision,20,0.7908829804185175,0.8521739130434782,0.22978597081006166,0.3391003460207612,1.0,0.34134526120347713,0.35487361419068736,0.7959420289855073,0.9847628830679679,1.0,1.0
optimizer_only,profiles,B,Jaccard,20,0.7706597991226734,0.8521739130434782,0.22935208753735026,0.3391003460207612,1.0,0.34134526120347713,0.35487361419068736,0.6364646464646464,0.8922115895800107,1.0,1.0
optimizer_only,profiles,B,within_pair_coassignment,20,0.9745739532926573,1.0,0.1090004570734615,0.5118872291184515,1.0,0.9562066063538818,0.9979591836734694,1.0,1.0,1.0,1.0
optimizer_only,profiles,C,retention,20,0.7517241379310344,0.6379310344827587,0.1576630128902913,0.5862068965517241,1.0,0.6189655172413794,0.6206896551724138,0.6206896551724138,0.9051724137931034,0.9655172413793104,0.9672413793103449
optimizer_only,profiles,C,precision,20,0.9284466260816412,1.0,0.102552536614742,0.7,1.0,0.7614705882352941,0.7855614973262032,0.8328125,1.0,1.0,1.0
optimizer_only,profiles,C,Jaccard,20,0.695259952757284,0.6206896551724138,0.12256114494657802,0.5526315789473685,1.0,0.5845281306715063,0.6172413793103448,0.6206896551724138,0.7569444444444444,0.8733333333333334,0.9366666666666668
optimizer_only,profiles,C,within_pair_coassignment,20,0.6245073891625617,0.49014778325123154,0.2182717415802317,0.3817733990147783,1.0,0.421551724137931,0.4236453201970443,0.4482758620689655,0.8226600985221675,0.9310344827586207,0.9344827586206896
optimizer_only,profiles,D,retention,20,0.9836601307189543,0.9869281045751634,0.023374100418794886,0.8954248366013072,1.0,0.9637254901960784,0.973202614379085,0.9803921568627451,1.0,1.0,1.0
