month,ARI,NMI,K,seed,adjacent_ARI,adjacent_NMI,same_label_share
2024-08-01,0.6291110398906635,0.6807355335061709,9,13,0.7676139639863607,0.8615033859711053,0.9028361344537815
2024-09-01,0.7474481299207252,0.7208625375982494,9,13,0.8135318175553655,0.8472256509951682,0.9191176470588235
2024-10-01,0.7633732842283529,0.7337841853876813,8,13,0.9174028427842428,0.8873561421291333,0.9627100840336135
2024-11-01,0.758017011830043,0.7299714716323042,8,13,0.9529952021413708,0.9130944561920747,0.9774159663865546
2024-12-01,0.758017011830043,0.7299714716323042,8,13,1.0,1.0,1.0
2023-01-01,0.6356700155376823,0.6533648583461018,6,14,,,
2023-02-01,0.6356700155376823,0.6533648583461018,6,14,1.0,1.0,1.0
2023-03-01,0.653550303772409,0.6498876586954804,7,14,0.9368175498864261,0.9076437356441862,0.9737394957983193
2023-04-01,0.710693762714243,0.6964267937541067,7,14,0.8932691160517193,0.8639851580108115,0.9501050420168067
2023-05-01,0.6582354699157497,0.6757658939284114,7,14,0.9100877753151138,0.8886398453124993,0.9553571428571429
2023-06-01,0.6024877057625802,0.6625421904082877,8,14,0.8886171164408032,0.8861189661550768,0.9459033613445378
2023-07-01,0.557213230835912,0.6515586098540294,9,14,0.8816532204981168,0.8904134196736542,0.9490546218487395
2023-08-01,0.5453235029824465,0.6457914831749969,10,14,0.8788339469572339,0.8736605035730751,0.9438025210084033
2023-09-01,0.5507392423792321,0.6408736468550588,11,14,0.8550328008853453,0.8569474787891389,0.9248949579831933
2023-10-01,0.5312073126872238,0.6408044380116555,11,14,0.8439943507979137,0.8515546845364099,0.917016806722689
2023-11-01,0.49576506265232495,0.6517463987654917,11,14,0.7930354844918388,0.8275097365728356,0.8760504201680672
2023-12-01,0.4671202031009013,0.6515886761719009,12,14,0.7978752400908646,0.8367501729877794,0.8881302521008403
2024-01-01,0.44302424446995176,0.6439196196211074,12,14,0.7902969304026992,0.8428719929375987,0.9002100840336135
2024-02-01,0.44307758172175066,0.6504345830118988,12,14,0.7277354535436621,0.8242603691014195,0.8728991596638656
2024-03-01,0.5019876105223942,0.6582807528000645,12,14,0.7403393140112958,0.8251844973217144,0.875
2024-04-01,0.6630393649949238,0.6809795919173803,12,14,0.7442328074143058,0.7998307060853068,0.8618697478991597
2024-05-01,0.748316593831974,0.6863698933385054,12,14,0.8519579484785688,0.8289486306153114,0.9044117647058824
2024-06-01,0.7868508335810416,0.7048449502277438,12,14,0.9023511811138035,0.8593251385935022,0.9348739495798319
2024-07-01,0.7836326686827686,0.7155845215534238,12,14,0.9521071259639331,0.922460314993382,0.9684873949579832
2024-08-01,0.7877161480383237,0.7341426282131257,11,14,0.9565964370850196,0.9356242526578054,0.9821428571428571
2024-09-01,0.7707252003401266,0.7142629875846371,10,14,0.9390378887753436,0.9073478834219334,0.9747899159663865
2024-10-01,0.7694864113019076,0.71237336330292,10,14,0.943497264205904,0.9223534648690338,0.9784663865546218
2024-11-01,0.7908241367552135,0.731609197219563,10,14,0.9420956631509518,0.908934038882049,0.9763655462184874
2024-12-01,0.7908241367552135,0.731609197219563,10,14,1.0,1.0,1.0
2023-01-01,0.6256694421796436,0.7226285397437876,8,15,,,
2023-02-01,0.6256694421796436,0.7226285397437876,8,15,1.0,1.0,1.0
2023-03-01,0.5936302072836513,0.6948622701465496,8,15,0.9284733261477008,0.9036389866741684,0.9679621848739496
2023-04-01,0.5562629027693882,0.6831359956489551,8,15,0.9050098447722793,0.8876319900014726,0.9616596638655462
2023-05-01,0.5169368405254939,0.687369660897484,8,15,0.8732262846437572,0.8642472838256668,0.9396008403361344
2023-06-01,0.47335820695998926,0.6936071094824436,8,15,0.8233525641468356,0.8552775958843606,0.9191176470588235
2023-07-01,0.504221076742038,0.7115860303909414,8,15,0.7856857044833049,0.8514289677081031,0.9091386554621849
2023-08-01,0.5875836109121824,0.7157709468493872,10,15,0.73973995292333,0.8422727254069952,0.8996848739495799
2023-09-01,0.6189051333309424,0.7233368747274627,10,15,0.7436561503536483,0.8511429763035742,0.9012605042016807
2023-10-01,0.5643098709951635,0.7169515265929304,11,15,0.8065635829560607,0.8435996465733803,0.9122899159663865
2023-11-01,0.4707173793041512,0.6867260737667615,11,15,0.8669602003557094,0.875251839332154,0.9243697478991597
2023-12-01,0.40278865970754596,0.6611885637548397,11,15,0.8727056237203417,0.8543673043094309,0.9065126050420168
2024-01-01,0.3930759933555395,0.6708493535778722,11,15,0.9080369629112088,0.8589400932395804,0.9154411764705882
2024-02-01,0.48370610601885256,0.6890084235008719,10,15,0.9152241618719833,0.8939589921443754,0.9548319327731093
