archetype,n_reference,destination,destination_n,intersection,retention,precision,Jaccard,within_pair_coassignment,n_destinations,seed
B,98,7,114,98,1.0,0.8596491228070176,0.8596491228070176,1.0,1,40
C,29,5,22,21,0.7241379310344828,0.9545454545454546,0.7,0.5541871921182266,4,40
D,153,10,469,152,0.9934640522875816,0.32409381663113,0.3234042553191489,0.9869281045751634,2,40
E,186,2,168,165,0.8870967741935484,0.9821428571428572,0.873015873015873,0.7937227550130775,4,40
F,327,10,469,268,0.8195718654434251,0.5714285714285714,0.5075757575757576,0.6956905123731262,3,40
G,965,9,994,935,0.9689119170984456,0.9406438631790744,0.9130859375,0.9395717326338872,4,40
A,141,14,479,140,0.9929078014184396,0.2922755741127348,0.2916666666666667,0.9858156028368794,2,41
B,98,13,278,98,1.0,0.3525179856115107,0.3525179856115107,1.0,1,41
C,29,14,479,17,0.5862068965517241,0.0354906054279749,0.0346232179226069,0.4704433497536945,3,41
D,153,14,479,150,0.9803921568627452,0.313152400835073,0.3112033195020747,0.9613003095975232,2,41
E,186,13,278,177,0.9516129032258064,0.6366906474820144,0.6167247386759582,0.9074106364428944,2,41
F,327,14,479,163,0.4984709480122324,0.3402922755741127,0.2534992223950233,0.4805350743888482,4,41
G,965,12,1134,964,0.998963730569948,0.8500881834215167,0.8493392070484581,0.9979274611398964,2,41
A,141,4,124,120,0.851063829787234,0.967741935483871,0.8275862068965517,0.739209726443769,3,42
